design,arm,rep,n_events,lag_set_m,Q_v,p_v,Q_z,p_z,acf_v_lag,acf_z_lag,reject_0.05_v,reject_0.05_z
D10,primary,12,104,5,7.929326599145055,0.1601738289087542,5.525013072337756,0.3552109020125296,0.002269606633726398,0.1406220616214439,False,False
D10,primary,12,104,10,16.454944056689655,0.08732877216661672,12.298882050934946,0.2655513397562097,0.052785867792388426,0.12918166226829375,False,False
D10,primary,13,124,1,1.7009746104285417,0.19216056863869557,0.00268872949517006,0.9586458560336406,0.11571918230250011,-0.004600764423018025,False,False
D10,primary,13,124,2,1.8129149192157423,0.40395271109873876,0.06460936340348643,0.9682115407947429,0.029564943302944163,0.021988798376000256,False,False
D10,primary,13,124,5,5.901869991212938,0.31588482677626883,2.701747819888683,0.74585110320551,-0.05414578543228335,0.005772321901878814,False,False
D10,primary,13,124,10,8.07644717035949,0.6213697675128064,4.165007199649602,0.9395963212559149,-0.01589476667940162,-0.010802220597359379,False,False
D10,primary,14,147,1,1.1422128366107769,0.2851852291588487,0.46890262018764145,0.4934924481874995,-0.08725657150151624,-0.05590697009317458,False,False
D10,primary,14,147,2,1.4070542674798703,0.49483686631071055,1.1141429018181879,0.5728843294849824,0.04187214047897524,0.06535712437550423,False,False
D10,primary,14,147,5,2.1370483955292388,0.8298752262980423,1.8452939275646485,0.87011058581701,0.04512782200582902,0.06338268080184419,False,False
D10,primary,14,147,10,3.7412090047514006,0.9582672517808823,2.9774775660013812,0.9819491273634995,-0.0583963304440827,-0.04467462096241707,False,False
D10,primary,15,158,1,0.14133015496387177,0.7069622228463246,0.2003000247449789,0.6544787836143751,-0.02962638818606245,-0.03526970221285702,False,False
D10,primary,15,158,2,0.14251878859362588,0.9312203075592598,0.3231392059464158,0.8508073106859754,-0.002708306244732065,-0.027532282739667055,False,False
D10,primary,15,158,5,5.786299707045986,0.327571383054166,12.0450058368794,0.034176273507482424,0.1356030929002358,0.2547947781906777,False,True
D10,primary,15,158,10,8.445738689625866,0.585383187545274,14.581022172471942,0.14809996425292282,0.06950685390590827,0.1151900501499129,False,False
D10,primary,16,180,1,1.2483789151398326,0.2638623216963585,1.5232971969116502,0.2171212101581298,-0.08259005995862438,-0.09123193588191286,False,False
D10,primary,16,180,2,2.335392111267006,0.3110828338029774,1.6790356440275989,0.4319187349333561,0.07685205108996732,-0.029089481117408462,False,False
D10,primary,16,180,5,4.367234931934503,0.49784094976887894,4.0587770622124015,0.5409849327522138,0.002178196020561899,0.0022020331104002713,False,False
D10,primary,16,180,10,5.928018561576851,0.8212741039446443,6.660880455760956,0.7570249428702387,-0.06193414517613124,-0.08469496288978345,False,False
D10,primary,17,98,1,2.6481305922683993,0.10367174759305309,1.824791423923224,0.17674399740073465,-0.16189838947719543,-0.1343938653090589,False,False
D10,primary,17,98,2,2.833528405264153,0.24249742126204799,1.8526929459122887,0.39599785953530386,-0.042616215711757624,-0.01653242364959277,False,False
D10,primary,17,98,5,3.5750757107702364,0.6120594074672467,2.0686028941479138,0.8395734217124673,-0.01383269622406446,0.03371391486235096,False,False
D10,primary,17,98,10,8.578180960500863,0.5725475385806601,6.881236292975662,0.7366073985834843,0.055636173243624985,-0.0035004528186714156,False,False
D10,primary,18,157,1,0.057801607183014116,0.8100049478592617,1.0241592529571164,0.311534450208651,0.019005699919591747,0.0800014129440256,False,False
D10,primary,18,157,2,1.198564637888031,0.5492056491795068,1.675821589568937,0.4326133981230833,0.08416183188959639,0.06361049444548135,False,False
D10,primary,18,157,5,1.7436676972180147,0.8833530963816191,1.9992811226999299,0.849244497595879,-0.042582386538044206,-0.04027071196403892,False,False
D10,primary,18,157,10,6.284824559618948,0.7907927844570917,12.92727206567661,0.22776659878046823,0.03708553896525414,-0.033738944023667304,False,False
D10,primary,19,92,1,0.19234854334865897,0.6609690913879167,1.3243061309734967,0.2498206946233239,-0.0449891001352716,-0.1180475697081067,False,False
D10,primary,19,92,2,1.6667780480010814,0.4345740061168092,1.5304917128468858,0.4652195397008282,-0.12387264776880394,-0.04632256086231976,False,False
D10,primary,19,92,5,2.827253004998774,0.7265973057137447,7.459817956983253,0.18862655606382184,0.0917411044285115,0.23850546834103004,False,False
D10,primary,19,92,10,3.8228044685495335,0.9549867110666175,10.781781633889887,0.374770140307942,0.00044434065161271576,-0.052088949109710875,False,False
D10,primary,20,197,1,0.0062844234655484495,0.9368144033115667,0.13138334555145637,0.7170020287906156,0.005605328960720176,0.025629406106368064,False,False
D10,primary,20,197,2,0.6302197596177642,0.7297086896124458,0.502912182824999,0.7776676031461199,0.05570926716919719,0.04298866105641736,False,False
D10,primary,20,197,5,4.538045377091526,0.4748092917043756,3.7809205840352558,0.5813691560910171,-0.08060993704245935,-0.008126850186967103,False,False
D10,primary,20,197,10,6.6631588186633754,0.7568159910668921,7.464773674358019,0.6809586659547674,-0.06671119015386748,-0.08257454702410306,False,False
D10,primary,21,115,1,0.554880040056552,0.4563305397127053,1.7175654630523547,0.19000672515835648,-0.06856620708557777,-0.12063330432686559,False,False
D10,primary,21,115,2,5.526778221268635,0.06307762863101274,4.980507324617819,0.08288893810879705,0.20434239714611524,0.1655396522483674,False,False
D10,primary,21,115,5,8.566783349813564,0.12764220089445688,5.890174102319797,0.317052592747483,0.12186836926155044,0.07788975433896458,False,False
D10,primary,21,115,10,12.557491470338569,0.24947545809927885,6.42218860719172,0.7786339688899253,-0.05861302340352112,-0.007961804134250839,False,False
D10,primary,22,89,1,0.02532584797100378,0.8735578110119471,0.019585629081789367,0.8887005498002978,-0.016588519756390356,-0.014587954474658825,False,False
D10,primary,22,89,2,0.08842398080704977,0.9567511139186503,0.03396312085000173,0.9831618135537616,0.02603467621400533,0.012427549184870384,False,False
D10,primary,22,89,5,6.6939197976629625,0.24441701876680755,3.969194517964665,0.5538596828161502,-0.24974313571259574,-0.16192283756421222,False,False
D10,primary,22,89,10,10.589610143442233,0.3903712949218404,11.148271171730059,0.3460836507616407,0.06155297638465054,-0.03643820899382333,False,False
D10,primary,23,160,1,0.1192038733851506,0.729899562074263,0.05831460400164533,0.8091798845933693,-0.02704121787295144,-0.018913405286915676,False,False
D10,primary,23,160,2,2.0504874419749815,0.35870902983246955,2.482682138031847,0.28899639383824205,-0.10850108163489015,-0.12156548151264054,False,False
D10,primary,23,160,5,5.05537493052203,0.4091596354420556,6.3426808361058065,0.27428774708482817,0.0173281532683488,0.016819540830328963,False,False
D10,primary,23,160,10,7.5032391107157705,0.6772337813508511,8.675491260889622,0.5631524443532571,-0.11411463029869734,-0.03983743972058548,False,False
D10,primary,24,117,1,0.00025504214474668656,0.9872582940836364,0.017304023261770038,0.8953443826857204,0.0014577013600493847,0.012007044720347327,False,False
D10,primary,24,117,2,0.023369352493830042,0.9883833244694361,1.1029519066587563,0.5760988875026725,0.01381729337006533,0.09469499023601662,False,False
D10,primary,24,117,5,5.2916382556460295,0.381334461455447,2.861962135528774,0.7212570337170098,-0.008680731955273267,0.0013536632407269917,False,False
D10,primary,24,117,10,10.80446177448234,0.37295388851433287,10.479569006454511,0.3994725763210085,-0.1119694670017747,-0.06874147935582271,False,False
D10,primary,25,77,1,0.08087794957728997,0.7761111477971683,0.13632381938998187,0.7119633347757688,-0.03178798168637401,-0.0412699326872996,False,False
D10,primary,25,77,2,0.2281186559770415,0.8922050215829025,0.4619135345069643,0.7937737823141673,-0.042607462421697155,-0.06335881737561222,False,False
D10,primary,25,77,5,1.6165907442032788,0.8992357846730992,4.657047506394884,0.45914979665320343,0.08169824883452766,0.05104015127413904,False,False
D10,primary,25,77,10,6.25710656518535,0.7932194740440341,7.561892209366144,0.6715449734877801,-0.03817173273680589,-0.0767957840748037,False,False
D10,primary,26,101,1,0.560605519280128,0.45401637250628635,1.8782152832214658,0.17053713114807778,-0.07340901306956407,-0.13436723668424536,False,False
D10,primary,26,101,2,1.8263140380472425,0.40125545122463757,2.3698903144379067,0.30576294792929926,0.10975015685425787,0.06840335056691957,False,False
D10,primary,26,101,5,6.338674964168866,0.27464487903720225,3.8793911513272583,0.566908224808292,0.04749827108030261,0.07514293767124908,False,False
D10,primary,26,101,10,10.203102731638905,0.422858845727488,13.370582302933915,0.20368371110318884,-0.023221597604459753,-0.015462482657038064,False,False
D10,primary,27,137,1,1.1858097590360503,0.2761764099023998,0.010688001878407455,0.9176591682005069,-0.09202573198752212,0.00873675246538508,False,False
